BK_FECHA|CAPACIDAD
2018-03-01|19900.0
2020-07-01|19900.0
2018-08-01|19900.0
2013-02-01|19900.0
2013-02-01|19900.0
2019-10-01|19900.0
2018-02-01|19900.0
2015-11-01|19900.0
2022-03-01|19900.0
2022-05-01|19900.0
2022-08-01|19900.0
2019-04-01|19900.0
2018-07-01|19900.0
2015-07-01|19900.0
2021-04-01|19900.0
2021-04-01|19900.0
2018-12-01|19900.0
2022-12-01|19900.0
2011-02-01|19900.0
2020-05-01|19900.0
2019-08-01|19900.0
2022-12-01|19900.0
2017-08-01|19900.0
2019-07-01|19900.0
2018-11-01|19900.0
2021-03-01|19900.0
2014-08-01|19900.0
2022-04-01|19900.0
2020-10-01|19900.0
2022-04-01|19900.0
2013-07-01|19900.0
2013-10-01|19900.0
2013-10-01|19900.0
2019-12-01|19900.0
2016-02-01|19900.0
2016-02-01|19900.0
2021-12-01|19900.0
2017-02-01|19900.0
2020-09-01|19900.0
2022-02-01|19900.0
2019-02-01|19900.0
2022-02-01|19900.0
2017-02-01|19900.0
2013-11-01|19900.0
2007-04-01|380.0
2018-05-01|19900.0
2021-12-01|7290.0
2021-07-01|19900.0
2003-01-01|396000.0
2014-11-01|19900.0
2020-01-01|19900.0
2017-10-01|19900.0
2019-10-01|19000.0
2017-04-01|19900.0
2010-04-01|19900.0
2013-06-01|19900.0
2016-03-01|19900.0
2022-09-01|19900.0
2014-06-01|19900.0
2016-09-01|19900.0
2018-03-01|19900.0
2020-07-01|19900.0
2018-08-01|19900.0
2018-01-01|19900.0
2018-01-01|19900.0
2019-10-01|19900.0
2010-11-01|19900.0
2021-10-01|19900.0
2021-05-01|19900.0
2022-03-01|19900.0
2015-11-01|19900.0
2019-04-01|19900.0
2018-11-01|19900.0
2018-12-01|19900.0
2021-04-01|19900.0
2021-04-01|19900.0
2022-12-01|19900.0
2022-12-01|19900.0
2022-01-01|19900.0
2020-05-01|19900.0
2021-01-01|19900.0
2022-01-01|19900.0
2017-08-01|19900.0
2019-07-01|19900.0
2018-11-01|19900.0
2021-03-01|19900.0
2014-08-01|19900.0
2022-04-01|19900.0
2020-10-01|19900.0
2022-04-01|19900.0
2011-04-01|19900.0
2022-04-01|19900.0
2013-10-01|19900.0
2019-12-01|19900.0
2011-05-01|19900.0
2016-01-01|19900.0
2016-01-01|19900.0
2021-07-01|19900.0
2012-09-01|19900.0
2022-02-01|19900.0
2019-02-01|19900.0
2023-01-01|19900.0
2020-03-01|19900.0
2013-11-01|19900.0
2007-04-01|380.0
2021-12-01|19900.0
2021-12-01|429000.0
2021-07-01|19900.0
2003-01-01|9000.0
2014-11-01|19900.0
2020-09-01|19900.0
2021-10-01|19900.0
2019-10-01|2500.0
2021-10-01|19900.0
2022-09-01|19900.0
2013-06-01|19900.0
2016-03-01|19900.0
2022-09-01|19900.0
2014-06-01|19900.0
2016-09-01|19900.0
2018-03-01|19900.0
2020-07-01|19900.0
2018-08-01|19900.0
2018-01-01|19900.0
2018-01-01|19900.0
2019-10-01|19900.0
2010-11-01|19900.0
2021-10-01|19900.0
2021-05-01|19900.0
2022-03-01|19900.0
2018-09-01|19900.0
2019-04-01|19900.0
2018-09-01|19900.0
2018-12-01|19900.0
2022-03-01|19900.0
2021-04-01|19900.0
2022-12-01|19900.0
2004-04-01|19900.0
2020-05-01|19900.0
2020-05-01|19900.0
2021-01-01|19900.0
2022-01-01|19900.0
2017-08-01|19900.0
2019-07-01|19900.0
2018-11-01|19900.0
2018-10-01|19900.0
2021-03-01|19900.0
2021-03-01|19900.0
2017-07-01|19900.0
2022-04-01|19900.0
2011-04-01|19900.0
2010-03-01|19900.0
2013-10-01|19900.0
2019-12-01|19900.0
2016-01-01|19900.0
2016-01-01|19900.0
2021-07-01|19900.0
2010-05-01|19900.0
2012-09-01|19900.0
2022-02-01|19900.0
2019-02-01|19900.0
2017-02-01|19900.0
2020-03-01|19900.0
2013-11-01|19900.0
2007-04-01|285000.0
2021-12-01|19900.0
2021-12-01|19900.0
2021-07-01|19900.0
2003-01-01|19000.0
2019-01-01|19900.0
2022-02-01|19900.0
2021-10-01|19900.0
2019-10-01|19800.0
2021-10-01|19900.0
2022-09-01|19900.0
2013-06-01|19900.0
2010-01-01|19900.0
2022-09-01|19900.0
2022-10-01|19900.0
2017-03-01|19900.0
2020-07-01|19900.0
2020-07-01|19900.0
2018-08-01|19900.0
2018-01-01|19900.0
2018-01-01|19900.0
2019-10-01|19900.0
2021-10-01|19900.0
2021-10-01|19900.0
2019-09-01|19900.0
2022-03-01|19900.0
2021-05-01|19900.0
2011-06-01|19900.0
2011-06-01|19900.0
2018-12-01|19900.0
2022-03-01|19900.0
2021-04-01|19900.0
2022-12-01|19900.0
2022-01-01|19900.0
2020-05-01|19900.0
2020-05-01|19900.0
2019-01-01|19900.0
2022-01-01|19900.0
2015-05-01|19900.0
2019-07-01|19900.0
2018-11-01|19900.0
2019-03-01|19900.0
2021-03-01|19900.0
2021-03-01|19900.0
2017-07-01|19900.0
2022-06-01|19900.0
2015-12-01|19900.0
2019-09-01|19900.0
2009-01-01|19900.0
2019-12-01|19900.0
2016-01-01|19900.0
2018-06-01|19900.0
2021-07-01|19900.0
2021-08-01|19900.0
2012-09-01|19900.0
2022-02-01|19900.0
2012-12-01|19900.0
2020-03-01|19900.0
2020-03-01|19900.0
2022-02-01|19900.0
2007-04-01|2000.0
2021-12-01|19900.0
2021-12-01|19170.0
2021-07-01|19900.0
2003-01-01|1000.0
2019-01-01|19900.0
2017-02-01|19900.0
2021-10-01|19900.0
2019-10-01|10200.0
2008-11-01|19900.0
2022-09-01|19900.0
2013-06-01|19900.0
2022-09-01|19900.0
2022-09-01|19900.0
2022-10-01|19900.0
2017-03-01|19900.0
2020-07-01|19900.0
2020-07-01|19900.0
2018-08-01|19900.0
2018-01-01|19900.0
2004-02-01|19900.0
2019-10-01|19900.0
2021-10-01|19900.0
2021-10-01|19900.0
2016-04-01|19900.0
2010-11-01|19900.0
2017-11-01|19900.0
2015-10-01|19900.0
2010-09-01|19900.0
2018-12-01|19900.0
2022-03-01|19900.0
2021-04-01|19900.0
2022-12-01|19900.0
2022-01-01|19900.0
2014-02-01|19900.0
2012-08-01|19900.0
2016-08-01|19900.0
2022-01-01|19900.0
2011-12-01|19900.0
2017-11-01|19900.0
2018-11-01|19900.0
2015-06-01|19900.0
2021-03-01|19900.0
2021-03-01|19900.0
2017-07-01|19900.0
2017-09-01|19900.0
2022-04-01|19900.0
2012-02-01|19900.0
2013-10-01|19900.0
2019-12-01|19900.0
2016-01-01|19900.0
2017-05-01|19900.0
2017-05-01|19900.0
2021-08-01|19900.0
2021-08-01|19900.0
2022-02-01|19900.0
2012-12-01|19900.0
2020-03-01|19900.0
2020-03-01|19900.0
2023-01-01|19900.0
2007-04-01|1240000.0
2020-04-01|19900.0
2021-12-01|810.0
2021-07-01|19900.0
2003-01-01|1300.0
2014-11-01|19900.0
2014-11-01|19900.0
2013-03-01|19900.0
2019-10-01|19900.0
2008-11-01|19900.0
2022-09-01|19900.0
2004-12-01|19900.0
2022-09-01|19900.0
2022-09-01|19900.0
2022-10-01|19900.0
2017-03-01|19900.0
2020-07-01|19900.0
2010-04-01|19900.0
2018-08-01|19900.0
2018-01-01|19900.0
2018-02-01|19900.0
2022-08-01|19900.0
2021-10-01|19900.0
2021-10-01|19900.0
2016-04-01|19900.0
2015-11-01|19900.0
2017-11-01|19900.0
2015-10-01|19900.0
2015-10-01|19900.0
2018-12-01|19900.0
2018-12-01|19900.0
2021-04-01|19900.0
2022-12-01|19900.0
2022-01-01|19900.0
2014-02-01|19900.0
2020-05-01|19900.0
2019-08-01|19900.0
2022-01-01|19900.0
2015-01-01|19900.0
2017-11-01|19900.0
2018-11-01|19900.0
2015-06-01|19900.0
2021-03-01|19900.0
2016-12-01|19900.0
2017-07-01|19900.0
2017-09-01|19900.0
2019-09-01|19900.0
2017-08-01|19900.0
2011-05-01|19900.0
2019-12-01|19900.0
2016-01-01|19900.0
2017-05-01|19900.0
2021-08-01|19900.0
2021-08-01|19900.0
2021-08-01|19900.0
2023-01-01|19900.0
2023-01-01|19900.0
2020-03-01|19900.0
2016-10-01|19900.0
2014-11-01|19900.0
2007-04-01|135000.0
2020-04-01|19900.0
2021-12-01|410.0
2014-04-01|19900.0
2003-01-01|610.0
2020-04-01|19900.0
2014-11-01|750.0
2013-03-01|19900.0
2019-10-01|16000.0
2017-10-01|19900.0
2015-09-01|19900.0
2004-12-01|19900.0
2022-09-01|19900.0
2019-05-01|19900.0
2022-10-01|19900.0
2014-06-01|19900.0
2020-07-01|19900.0
2010-04-01|19900.0
2018-08-01|19900.0
2018-01-01|19900.0
2018-02-01|19900.0
2022-08-01|19900.0
2021-10-01|19900.0
2016-05-01|19900.0
2016-04-01|19900.0
2015-11-01|19900.0
2012-06-01|19900.0
2011-09-01|19900.0
2011-09-01|19900.0
2018-09-01|19900.0
2015-07-01|19900.0
2021-04-01|19900.0
2022-01-01|19900.0
2022-01-01|19900.0
2016-08-01|19900.0
2020-05-01|19900.0
2019-08-01|19900.0
2022-01-01|19900.0
2017-08-01|19900.0
2017-11-01|19900.0
2015-05-01|19900.0
2019-03-01|19900.0
2021-03-01|19900.0
2016-12-01|19900.0
2017-07-01|19900.0
2017-09-01|19900.0
2020-10-01|19900.0
2012-02-01|19900.0
2010-03-01|19900.0
2014-01-01|19900.0
2018-06-01|19900.0
2017-05-01|19900.0
2021-08-01|19900.0
2021-08-01|19900.0
2021-08-01|19900.0
2023-01-01|19900.0
2023-01-01|19900.0
2004-06-01|19900.0
2017-08-01|19900.0
2014-11-01|19900.0
2007-04-01|18500.0
2023-01-01|19900.0
2021-12-01|9900.0
2014-04-01|19900.0
2003-01-01|170000.0
2021-06-01|19900.0
2022-02-01|2500.0
2013-03-01|19900.0
2019-10-01|2600.0
2002-03-01|19900.0
2015-09-01|19900.0
2021-02-01|19900.0
2013-06-01|19900.0
2019-05-01|19900.0
2022-10-01|19900.0
2022-10-01|19900.0
2017-03-01|19900.0
2022-10-01|19900.0
2016-06-01|19900.0
2018-01-01|19900.0
2018-02-01|19900.0
2018-01-01|19900.0
2021-10-01|19900.0
2021-05-01|19900.0
2016-04-01|19900.0
2015-11-01|19900.0
2019-12-01|19900.0
2013-09-01|19900.0
2011-06-01|19900.0
2018-09-01|19900.0
2018-12-01|19900.0
2011-03-01|19900.0
2022-01-01|19900.0
2014-02-01|19900.0
2016-08-01|19900.0
2021-01-01|19900.0
2020-06-01|19900.0
2010-08-01|19900.0
2015-05-01|19900.0
2017-11-01|19900.0
2015-06-01|19900.0
2008-06-01|19900.0
2019-11-01|19900.0
2020-02-01|19900.0
2017-07-01|19900.0
2017-09-01|19900.0
2017-07-01|19900.0
2011-04-01|19900.0
2013-07-01|19900.0
2011-11-01|19900.0
2017-05-01|19900.0
2017-05-01|19900.0
2013-05-01|19900.0
2021-08-01|19900.0
2021-08-01|19900.0
2023-01-01|19900.0
2023-01-01|19900.0
2020-03-01|19900.0
2006-07-01|19900.0
2014-11-01|19900.0
2007-04-01|8000.0
2014-03-01|19900.0
2021-12-01|450.0
2021-03-01|19900.0
2003-01-01|1500.0
2014-11-01|19900.0
2017-02-01|2500.0
2013-03-01|19900.0
2019-10-01|468.0
2008-05-01|19900.0
2015-09-01|19900.0
2021-02-01|19900.0
2013-06-01|19900.0
2019-04-01|19900.0
2022-10-01|19900.0
2022-10-01|19900.0
2017-03-01|19900.0
2016-06-01|19900.0
2020-08-01|19900.0
2018-03-01|19900.0
2018-02-01|19900.0
2017-10-01|19900.0
2010-08-01|19900.0
2021-05-01|19900.0
2016-04-01|19900.0
2015-11-01|19900.0
2017-06-01|19900.0
2018-08-01|19900.0
2018-07-01|19900.0
2018-09-01|19900.0
2018-12-01|19900.0
2021-01-01|19900.0
2021-04-01|19900.0
2014-02-01|19900.0
2017-09-01|19900.0
2021-01-01|19900.0
2010-10-01|19900.0
2011-09-01|19900.0
2019-08-01|19900.0
2019-08-01|19900.0
2015-06-01|19900.0
2015-06-01|19900.0
2019-11-01|19900.0
2020-02-01|19900.0
2009-12-01|19900.0
2017-09-01|19900.0
2019-06-01|19900.0
2013-10-01|19900.0
2016-12-01|19900.0
2017-01-01|19900.0
2017-05-01|19900.0
2017-05-01|19900.0
2013-05-01|19900.0
2021-08-01|19900.0
2018-10-01|19900.0
2017-02-01|19900.0
2023-01-01|19900.0
2020-12-01|19900.0
2005-10-01|19900.0
2014-11-01|19900.0
2007-04-01|1650.0
2014-03-01|19900.0
2021-12-01|16700.0
2014-10-01|19900.0
2003-01-01|5100.0
2019-01-01|19900.0
2014-11-01|2500.0
2021-06-01|19900.0
2019-10-01|400.0
2007-05-01|19900.0
2015-09-01|19900.0
2019-05-01|19900.0
2015-09-01|19900.0
2019-04-01|19900.0
2022-10-01|19900.0
2022-11-01|19900.0
2017-03-01|19900.0
2016-06-01|19900.0
2018-03-01|19900.0
2020-07-01|19900.0
2018-02-01|19900.0
2017-10-01|19900.0
2021-05-01|19900.0
2021-05-01|19900.0
2017-12-01|19900.0
2018-09-01|19900.0
2017-06-01|19900.0
2021-10-01|19900.0
2015-10-01|19900.0
2018-09-01|19900.0
2015-07-01|19900.0
2021-09-01|19900.0
2021-09-01|19900.0
2021-04-01|19900.0
2007-08-01|19900.0
2021-01-01|19900.0
2020-05-01|19900.0
2010-10-01|19900.0
2011-07-01|19900.0
2019-07-01|19900.0
2004-08-01|19900.0
2020-10-01|19900.0
2019-11-01|19900.0
2020-02-01|19900.0
2019-06-01|19900.0
2017-09-01|19900.0
2013-07-01|19900.0
2019-09-01|19900.0
2017-11-01|19900.0
2014-01-01|19900.0
2020-12-01|19900.0
2017-05-01|19900.0
2020-06-01|19900.0
2018-10-01|19900.0
2018-10-01|19900.0
2017-02-01|19900.0
2023-01-01|19900.0
2020-12-01|19900.0
2007-04-01|19900.0
2014-11-01|19900.0
2007-04-01|650.0
2018-04-01|19900.0
2021-12-01|19900.0
2020-01-01|19900.0
2003-01-01|720.0
2013-03-01|19900.0
2021-06-01|700.0
2009-06-01|19900.0
2019-10-01|3200.0
2008-11-01|750.0
2015-09-01|19900.0
2019-05-01|19900.0
2019-05-01|19900.0
2015-08-01|19900.0
2019-04-01|19900.0
2022-11-01|19900.0
2017-03-01|19900.0
2022-11-01|19900.0
2014-06-01|19900.0
2012-05-01|19900.0
2018-02-01|19900.0
2018-02-01|19900.0
2021-05-01|19900.0
2007-07-01|19900.0
2017-12-01|19900.0
2018-09-01|19900.0
2017-06-01|19900.0
2021-10-01|19900.0
2018-11-01|19900.0
2013-04-01|19900.0
2022-03-01|19900.0
2021-09-01|19900.0
2021-09-01|19900.0
2016-04-01|19900.0
2011-02-01|19900.0
2021-01-01|19900.0
2016-08-01|19900.0
2020-05-01|19900.0
2015-05-01|19900.0
2018-11-01|19900.0
2020-05-01|19900.0
2018-10-01|19900.0
2019-11-01|19900.0
2020-02-01|19900.0
2019-06-01|19900.0
2019-09-01|19900.0
2015-12-01|19900.0
2015-12-01|19900.0
2011-04-01|19900.0
2011-11-01|19900.0
2020-12-01|19900.0
2017-05-01|19900.0
2020-06-01|19900.0
2018-10-01|19900.0
2018-10-01|19900.0
2021-08-01|19900.0
2022-02-01|19900.0
2018-04-01|19900.0
2007-04-01|19900.0
2007-06-01|19900.0
2007-04-01|6000.0
2020-01-01|19900.0
2021-12-01|350.0
2020-01-01|19900.0
2003-01-01|1440.0
2020-01-01|19900.0
2022-02-01|700.0
2022-02-01|19900.0
2019-10-01|380.0
2000-01-01|750.0
2021-02-01|19900.0
2019-05-01|19900.0
2019-05-01|19900.0
2015-08-01|19900.0
2022-11-01|19900.0
2022-11-01|19900.0
2017-03-01|19900.0
2015-08-01|19900.0
2014-05-01|19900.0
2020-07-01|19900.0
2022-10-01|19900.0
2018-02-01|19900.0
2021-05-01|19900.0
2007-09-01|19900.0
2017-12-01|19900.0
2018-09-01|19900.0
2017-06-01|19900.0
2019-04-01|19900.0
2011-06-01|19900.0
2021-01-01|19900.0
2013-04-01|19900.0
2011-03-01|19900.0
2016-04-01|19900.0
2013-08-01|19900.0
2014-02-01|19900.0
2021-01-01|19900.0
2022-12-01|19900.0
2015-01-01|19900.0
2016-11-01|19900.0
2019-07-01|19900.0
2019-07-01|19900.0
2006-01-01|19900.0
2019-11-01|19900.0
2020-02-01|19900.0
2019-06-01|19900.0
2019-09-01|19900.0
2022-04-01|19900.0
2022-04-01|19900.0
2022-04-01|19900.0
2017-01-01|19900.0
2020-12-01|19900.0
2017-05-01|19900.0
2022-07-01|19900.0
2020-06-01|19900.0
2018-10-01|19900.0
2021-02-01|19900.0
2022-02-01|19900.0
2018-04-01|19900.0
2019-02-01|19900.0
2013-01-01|19900.0
2007-04-01|64000.0
2015-04-01|19900.0
2021-12-01|3400.0
2020-01-01|19900.0
2003-01-01|306000.0
2021-06-01|700.0
2014-11-01|700.0
2022-02-01|19900.0
2019-10-01|380.0
2013-03-01|750.0
2022-09-01|19900.0
2014-09-01|19900.0
2019-05-01|19900.0
2021-06-01|19900.0
2022-11-01|19900.0
2016-07-01|19900.0
2017-03-01|19900.0
2015-08-01|19900.0
2017-03-01|19900.0
2022-10-01|19900.0
2016-05-01|19900.0
2018-02-01|19900.0
2021-05-01|19900.0
2021-10-01|19900.0
2017-12-01|19900.0
2019-09-01|19900.0
2017-06-01|19900.0
2018-07-01|19900.0
2011-06-01|19900.0
2015-10-01|19900.0
2021-01-01|19900.0
2021-04-01|19900.0
2022-01-01|19900.0
2013-08-01|19900.0
2014-02-01|19900.0
2022-01-01|19900.0
2020-05-01|19900.0
2016-11-01|19900.0
2015-05-01|19900.0
2011-10-01|19900.0
2019-07-01|19900.0
2005-05-01|19900.0
2019-11-01|19900.0
2019-11-01|19900.0
2019-06-01|19900.0
2019-09-01|19900.0
2017-07-01|19900.0
2013-10-01|19900.0
2013-07-01|19900.0
2014-01-01|19900.0
2020-12-01|19900.0
2022-07-01|19900.0
2022-07-01|19900.0
2020-06-01|19900.0
2018-10-01|19900.0
2021-02-01|19900.0
2022-02-01|19900.0
2018-04-01|19900.0
2020-03-01|19900.0
2013-01-01|19900.0
2007-04-01|63000.0
2018-05-01|19900.0
2021-12-01|19900.0
2020-01-01|19900.0
2003-01-01|1400.0
2001-11-01|700.0
2017-10-01|700.0
2009-06-01|19900.0
2019-10-01|315000.0
2007-05-01|750.0
2015-09-01|19900.0
2014-09-01|19900.0
2019-05-01|19900.0
2021-06-01|19900.0
2022-11-01|19900.0
2016-07-01|19900.0
2016-07-01|19900.0
2015-08-01|19900.0
2016-06-01|19900.0
2022-10-01|19900.0
2013-09-01|19900.0
2018-02-01|19900.0
2021-05-01|19900.0
2021-05-01|19900.0
2017-12-01|19900.0
2012-06-01|19900.0
2017-06-01|19900.0
2015-10-01|19900.0
2018-09-01|19900.0
2010-09-01|19900.0
2015-07-01|19900.0
2022-12-01|19900.0
2021-04-01|19900.0
2013-08-01|19900.0
2016-08-01|19900.0
2021-01-01|19900.0
2020-05-01|19900.0
2016-10-01|19900.0
2017-11-01|19900.0
2016-11-01|19900.0
2019-03-01|19900.0
2019-08-01|19900.0
2019-11-01|19900.0
2019-11-01|19900.0
2019-06-01|19900.0
2019-09-01|19900.0
2017-09-01|19900.0
2013-10-01|19900.0
2017-08-01|19900.0
2017-01-01|19900.0
2020-12-01|19900.0
2022-07-01|19900.0
2022-07-01|19900.0
2020-06-01|19900.0
2018-10-01|19900.0
2021-02-01|19900.0
2017-02-01|19900.0
2018-04-01|19900.0
2017-08-01|19900.0
2013-01-01|19900.0
2007-04-01|750000.0
2014-03-01|19900.0
2021-12-01|540000.0
2020-01-01|19900.0
2003-01-01|750.0
2014-11-01|700.0
2020-01-01|700.0
2020-09-01|19900.0
2019-10-01|52000.0
2008-11-01|750.0
2021-02-01|19900.0
2014-09-01|19900.0
2019-05-01|19900.0
2021-06-01|19900.0
2022-11-01|19900.0
2010-12-01|19900.0
2014-05-01|19900.0
2004-11-01|19900.0
2013-09-01|19900.0
2022-10-01|19900.0
2013-09-01|19900.0
2018-02-01|19900.0
2021-05-01|19900.0
2007-10-01|19900.0
2017-12-01|19900.0
2019-12-01|19900.0
2018-07-01|19900.0
2013-09-01|19900.0
2011-06-01|19900.0
2018-11-01|19900.0
2018-12-01|19900.0
2011-03-01|19900.0
2021-09-01|19900.0
2022-01-01|19900.0
2022-01-01|19900.0
2021-01-01|19900.0
2019-01-01|19900.0
2022-07-01|19900.0
2015-01-01|19900.0
2016-11-01|19900.0
2019-07-01|19900.0
2015-06-01|19900.0
2014-08-01|19900.0
2019-11-01|19900.0
2022-04-01|19900.0
2019-09-01|19900.0
2013-07-01|19900.0
2019-09-01|19900.0
2011-04-01|19900.0
2014-01-01|19900.0
2020-12-01|19900.0
2022-07-01|19900.0
2020-02-01|19900.0
2020-06-01|19900.0
2018-10-01|19900.0
2021-02-01|19900.0
2021-02-01|19900.0
2019-02-01|19900.0
2003-11-01|19900.0
2019-03-01|19900.0
2007-04-01|157000.0
2018-05-01|19900.0
2021-12-01|1000000.0
2020-04-01|19900.0
2003-01-01|3150.0
2003-12-01|700.0
2001-11-01|1000.0
2020-09-01|19900.0
2019-10-01|2000.0
2000-01-01|750.0
2015-09-01|19900.0
2014-09-01|19900.0
2019-05-01|19900.0
2021-11-01|19900.0
2022-11-01|19900.0
2020-08-01|19900.0
2010-12-01|19900.0
2004-11-01|19900.0
2022-08-01|19900.0
2022-10-01|19900.0
2016-06-01|19900.0
2016-05-01|19900.0
2021-05-01|19900.0
2007-09-01|19900.0
2019-10-01|19900.0
2019-12-01|19900.0
